student_id,branch,cgpa,backlogs,certifications,projects,dsa_problems,internship,communication_score,mock_interview_score,placed,cluster,PC1,PC2
STU0001,IT,7.76,3,4,5,58,0,70.1,74.7,0,0,0.49258298034741377,1.7080603203727107
STU0002,Civil,6.4,0,4,3,72,0,53.5,82.1,0,1,-1.2356645605297862,1.301837477524483
STU0003,ENTC,7.94,0,1,0,76,0,64.7,45.9,1,1,-0.2593848875712948,-1.7389951407915618
STU0004,AI&DS,8.15,0,5,2,68,1,66.3,66.0,1,2,0.8357061845071012,0.2752235604350323
STU0005,Computer,8.1,0,2,4,66,1,40.2,64.2,1,2,-1.3863141920135087,0.9397436091877387
STU0006,Computer,8.57,0,1,2,80,1,65.4,68.1,1,2,0.11703763755341748,-0.39894495987717415
STU0007,Computer,8.35,0,4,1,70,1,77.4,64.8,1,2,1.3538875871054705,-0.7629946057121648
STU0008,Mechanical,8.01,0,3,4,75,1,66.2,50.3,1,2,-0.3904692441865703,0.3004047099906278
STU0009,AI&DS,7.54,0,3,3,61,0,71.3,86.8,1,1,0.20989869784028908,0.07242482459067945
STU0010,ENTC,6.11,0,6,3,80,0,74.3,93.2,0,1,-0.019194949970817367,1.6892684308522596
STU0011,Computer,7.99,0,4,1,74,0,63.5,73.2,1,1,0.6504498775567249,0.16368848370804312
STU0012,Civil,7.79,0,8,1,79,1,77.5,74.0,1,2,2.0034018763500616,1.0079672123811718
STU0013,Mechanical,7.84,0,3,3,64,1,86.9,67.0,1,2,0.7575284761830433,-0.909573607951967
STU0014,Computer,6.45,0,2,2,62,0,48.2,79.5,0,1,-1.707642178005469,0.05939696141664958
STU0015,Computer,6.63,1,3,3,62,0,63.5,28.4,0,1,-1.431673990653926,-0.6823051964424216
STU0016,Computer,8.55,0,2,3,66,0,98.3,64.9,1,1,1.5093371116844356,-1.495608738574829
STU0017,IT,7.56,0,5,2,70,1,70.2,56.4,1,2,0.400704998231333,-0.05193686631946033
STU0018,AI&DS,8.21,0,4,5,64,0,67.5,67.2,1,1,0.16794570625865696,0.9845609769478204
STU0019,IT,7.63,3,3,4,73,1,64.6,81.4,1,0,0.11838995764406202,1.8809369023705125
STU0020,Computer,7.63,0,5,3,65,1,84.6,65.3,1,2,0.9724713931079367,-0.21093763333391963
STU0021,AI&DS,8.44,0,3,1,76,0,55.8,59.6,0,1,0.256286556714918,-0.06136327132410463
STU0022,Computer,7.14,0,1,1,70,1,80.0,44.0,1,2,-0.49513865639334326,-2.3542312269966708
STU0023,Computer,7.69,0,3,3,75,1,64.4,63.4,1,2,-0.34346186455427835,0.2749071976261989
