student_id,branch,cgpa,backlogs,certifications,projects,dsa_problems,internship,communication_score,mock_interview_score,placed
STU0001,IT,7.76,3,4,5,58,0,70.1,74.7,0
STU0002,Civil,6.4,0,4,3,72,0,53.5,82.1,0
STU0003,ENTC,7.94,0,1,0,76,0,64.7,45.9,1
STU0004,AI&DS,8.15,0,5,2,68,1,66.3,66.0,1
STU0005,Computer,8.1,0,2,4,66,1,40.2,64.2,1
STU0006,Computer,8.57,0,1,2,80,1,65.4,68.1,1
STU0007,Computer,8.35,0,4,1,70,1,77.4,64.8,1
STU0008,Mechanical,8.01,0,3,4,75,1,66.2,50.3,1
STU0009,AI&DS,7.54,0,3,3,61,0,71.3,86.8,1
STU0010,ENTC,6.11,0,6,3,80,0,74.3,93.2,0
STU0011,Computer,7.99,0,4,1,74,0,63.5,73.2,1
STU0012,Civil,7.79,0,8,1,79,1,77.5,74.0,1
STU0013,Mechanical,7.84,0,3,3,64,1,86.9,67.0,1
STU0014,Computer,6.45,0,2,2,62,0,48.2,79.5,0
STU0015,Computer,6.63,1,3,3,62,0,63.5,28.4,0
STU0016,Computer,8.55,0,2,3,66,0,98.3,64.9,1
STU0017,IT,7.56,0,5,2,70,1,70.2,56.4,1
STU0018,AI&DS,8.21,0,4,5,64,0,67.5,67.2,1
STU0019,IT,7.63,3,3,4,73,1,64.6,81.4,1
STU0020,Computer,7.63,0,5,3,65,1,84.6,65.3,1
STU0021,AI&DS,8.44,0,3,1,76,0,55.8,59.6,0
STU0022,Computer,7.14,0,1,1,70,1,80.0,44.0,1
STU0023,Computer,7.69,0,3,3,75,1,64.4,63.4,1
STU0024,IT,7.18,0,7,1,69,0,58.3,75.1,0
STU0025,IT,7.21,0,3,5,79,1,65.0,52.4,1
STU0026,ENTC,7.32,2,2,1,83,0,67.4,34.9,0
STU0027,Computer,7.8,0,5,3,69,0,61.5,99.1,1
STU0028,AI&DS,7.17,1,2,2,73,1,82.5,70.0,1
STU0029,AI&DS,8.73,4,4,3,68,1,58.4,61.7,0
STU0030,Computer,6.79,0,1,1,69,1,69.8,85.9,0
STU0031,AI&DS,7.43,0,3,2,70,1,75.0,67.1,0
STU0032,Computer,7.2,0,8,2,71,1,69.7,85.0,1
STU0033,Computer,8.9,0,3,4,69,1,78.0,83.7,1
STU0034,Civil,7.78,0,5,0,77,1,62.4,45.9,0
STU0035,Civil,8.53,2,6,4,74,1,76.1,71.9,1
STU0036,Mechanical,6.26,1,5,4,71,0,76.5,90.9,0
STU0037,IT,7.84,0,4,2,65,1,80.6,50.0,1
STU0038,Computer,8.4,0,3,4,71,0,43.5,50.2,1
STU0039,ENTC,7.67,1,4,0,60,0,74.6,52.7,0
STU0040,IT,8.56,3,0,5,59,0,79.7,78.4,0
STU0041,Computer,7.13,1,8,3,69,1,62.7,69.3,1
STU0042,IT,8.87,0,2,2,77,0,60.9,36.0,1
STU0043,Computer,9.67,0,4,2,78,0,58.9,70.1,1
STU0044,Civil,7.27,0,0,1,58,1,54.6,61.2,1
STU0045,Computer,7.2,0,1,5,68,0,76.7,63.3,0
STU0046,ENTC,8.91,0,7,0,76,1,97.7,52.4,1
STU0047,IT,9.02,0,4,3,67,0,60.8,70.2,1
STU0048,AI&DS,7.13,0,5,2,63,0,61.9,80.8,1
STU0049,AI&DS,7.22,0,1,5,68,0,68.2,55.4,1
STU0050,Computer,7.35,0,5,2,61,1,47.2,39.8,0
STU0051,Civil,6.39,0,1,3,80,0,59.0,60.5,0
STU0052,ENTC,6.77,0,2,3,66,1,67.3,76.3,1
STU0053,Civil,6.7,0,1,3,56,0,56.4,58.7,0
STU0054,Mechanical,6.91,0,4,1,75,0,83.6,42.5,0
STU0055,AI&DS,7.57,1,3,1,75,0,51.2,76.4,0
STU0056,Civil,7.81,0,1,2,69,0,79.7,86.2,1
STU0057,Computer,9.0,0,3,3,90,1,87.1,65.3,1
STU0058,Computer,6.7,0,2,1,86,1,73.0,40.9,0
STU0059,Computer,8.49,3,2,3,71,1,66.2,60.2,0
STU0060,IT,7.41,0,1,2,62,0,71.2,67.3,0
STU0061,IT,7.56,0,3,4,63,0,62.3,52.9,0
STU0062,Computer,8.21,0,2,5,67,0,41.5,73.8,1
STU0063,Mechanical,6.59,0,3,3,69,1,55.3,51.4,0
STU0064,IT,7.94,0,3,2,72,0,67.9,65.4,0
STU0065,Computer,7.75,0,5,2,60,1,55.8,61.6,0
STU0066,AI&DS,8.04,2,6,0,64,0,62.6,74.2,0
STU0067,Computer,7.86,0,3,2,65,0,74.2,64.8,1
STU0068,Mechanical,9.81,2,5,3,59,0,69.9,62.1,0
STU0069,Computer,7.03,1,2,3,72,0,81.8,53.0,1
STU0070,Civil,7.12,0,2,5,63,1,71.8,65.5,1
STU0071,ENTC,7.04,2,4,2,68,0,72.6,61.1,0
STU0072,Computer,7.1,0,3,3,62,1,58.7,51.9,1
STU0073,Computer,7.03,0,2,3,68,0,50.7,67.4,0
STU0074,Mechanical,8.67,0,1,3,75,1,62.6,70.5,1
STU0075,ENTC,8.88,0,5,2,80,0,58.5,59.9,1
STU0076,ENTC,7.09,0,3,3,78,1,65.8,79.0,1
STU0077,ENTC,6.85,0,4,3,58,1,54.1,69.0,1
STU0078,Computer,8.02,0,1,3,69,1,79.0,45.7,1
STU0079,IT,7.1,0,3,5,60,0,58.5,85.1,0
STU0080,Computer,8.17,0,4,2,67,1,63.3,76.5,1
STU0081,Mechanical,7.78,0,2,0,66,0,67.7,80.0,0
STU0082,AI&DS,6.24,0,2,3,83,0,82.6,71.0,0
STU0083,IT,8.99,0,2,3,64,0,90.9,29.9,1
STU0084,Computer,9.22,1,4,1,70,0,91.8,81.4,1
STU0085,IT,7.05,0,5,4,64,1,51.3,65.9,0
STU0086,IT,7.25,1,2,5,61,0,63.1,70.3,0
STU0087,ENTC,7.86,0,2,5,75,1,60.7,73.1,1
STU0088,AI&DS,7.9,0,4,1,74,1,72.8,94.0,1
STU0089,Mechanical,8.19,0,0,4,90,0,72.0,56.8,0
STU0090,IT,9.41,0,3,3,86,1,60.4,57.2,1
STU0091,Computer,7.44,0,0,3,77,0,59.4,52.2,0
STU0092,ENTC,6.88,1,2,3,70,1,55.0,49.0,0
STU0093,ENTC,6.36,0,2,4,61,0,33.5,49.2,0
STU0094,AI&DS,6.94,1,1,3,59,1,51.1,37.2,0
STU0095,ENTC,7.57,1,4,2,87,1,79.3,71.4,0
STU0096,IT,9.22,2,5,3,71,1,87.0,94.8,1
STU0097,AI&DS,7.13,2,1,3,65,0,85.5,95.8,0
STU0098,IT,7.8,0,4,1,65,0,79.8,52.2,0
STU0099,Computer,7.59,0,0,4,97,0,54.8,60.9,1
STU0100,Computer,8.67,0,6,3,76,0,52.6,83.5,1
STU0101,Computer,9.87,0,5,3,72,0,44.5,71.5,1
STU0102,AI&DS,7.12,0,1,1,65,1,60.4,67.0,1
STU0103,IT,7.16,1,5,3,74,0,69.1,61.1,0
STU0104,AI&DS,8.54,0,1,1,75,0,54.9,82.7,0
STU0105,Civil,8.21,0,4,1,85,1,73.6,48.9,1
STU0106,Computer,9.26,0,2,3,80,1,76.5,72.2,1
STU0107,IT,8.13,0,1,2,68,0,61.8,70.2,1
STU0108,ENTC,7.28,0,3,3,68,0,50.6,65.7,1
STU0109,Computer,8.13,2,3,1,77,0,86.0,76.8,0
